GeneID,CTRLH1,CTRLH2,CTRLN1,CTRLN2
ENSG00000053438,1,1,0,0
ENSG00000053501,222,301,261,260
ENSG00000053524,8,10,11,6
ENSG00000053702,0,0,1,0
ENSG00000053747,222,303,140,142
ENSG00000053770,417,535,878,941
ENSG00000053900,505,509,601,607
ENSG00000053918,2,5,4,5
ENSG00000054116,726,954,1100,1077
ENSG00000054118,4444,5520,4642,4476
ENSG00000054148,1420,1766,1500,1271
ENSG00000054179,559,608,580,552
ENSG00000054219,0,0,0,0
ENSG00000054267,860,966,473,464
ENSG00000054277,387,453,494,496
ENSG00000054282,129,160,137,120
ENSG00000054356,20,29,0,1
ENSG00000054392,49,71,75,67
ENSG00000054523,1091,1383,1750,1715
ENSG00000054598,222,281,478,500
ENSG00000054611,417,597,443,431
ENSG00000054654,1212,1488,878,844
ENSG00000054690,604,688,934,940
ENSG00000054793,2719,3210,3204,3150
ENSG00000054796,0,0,0,1
ENSG00000054803,0,0,0,0
ENSG00000054938,0,0,0,0
ENSG00000054965,2165,2425,2539,2425
ENSG00000054967,558,635,339,298
ENSG00000054983,416,449,401,410
ENSG00000055044,1834,2344,2293,2336
ENSG00000055070,4176,4997,4864,4419
ENSG00000055118,119,139,313,251
ENSG00000055130,2402,2912,3285,3202
ENSG00000055147,292,358,368,337
ENSG00000055163,648,765,829,787
ENSG00000055208,2554,3010,1866,1937
ENSG00000055211,571,684,788,746
ENSG00000055332,1512,1911,2434,2444
ENSG00000055483,1550,1857,1173,1086
ENSG00000055609,3487,4245,1722,1653
ENSG00000055732,78,98,149,166
ENSG00000055813,111,130,89,67
ENSG00000055917,5048,5895,4818,4772
ENSG00000055950,1599,1957,2137,1928
